"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"	"Absolute (rad/s)"
8.851052917E-1	-8.367281407E-2	2.251395285E-1	-4.591736011E-3	2.402291222E-1
8.950602917E-1	-5.971421674E-2	1.901141703E-1	-3.612492001E-3	1.993043791E-1
9.050162917E-1	-4.269778728E-2	1.508409977E-1	-4.760873970E-3	1.568399616E-1
9.149722917E-1	-1.899245381E-2	1.024183482E-1	-9.440314025E-3	1.045913518E-1
9.249272917E-1	-9.674159810E-4	6.521138549E-2	-9.556791745E-3	6.591504350E-2
9.348832917E-1	6.567998324E-3	4.847581685E-2	-4.125274718E-3	4.909237530E-2
9.448382917E-1	6.488962099E-4	3.922104836E-2	1.934276544E-3	3.927407702E-2
9.547942917E-1	-1.618494466E-2	2.297736518E-2	4.724736791E-3	2.849973477E-2
9.647531667E-1	-2.928473987E-2	-2.447151346E-3	2.478760434E-3	2.949116464E-2
9.747081667E-1	-3.780179471E-2	-1.302868873E-2	7.639966439E-3	4.070738877E-2
9.846641667E-1	-4.021711648E-2	-1.135819312E-2	1.186130382E-2	4.344094309E-2
9.946201667E-1	-2.655749954E-2	-1.392121986E-2	1.006473508E-2	3.162910110E-2
1.004575167E0	-7.547163870E-3	-1.902447082E-2	1.364376582E-2	2.459761204E-2
1.014531167E0	1.799015515E-2	-2.723046765E-2	2.085107937E-2	3.872869171E-2
1.024486167E0	3.992923722E-2	-2.968586981E-2	2.105680294E-2	5.402762073E-2
1.034442167E0	5.444692448E-2	-2.361679263E-2	1.207475923E-2	6.056418323E-2
1.044398167E0	5.277559534E-2	-2.944709547E-2	4.872744437E-3	6.063116800E-2
1.054353167E0	3.425277770E-2	-5.592610687E-2	6.892752368E-3	6.594309854E-2
1.064309167E0	1.181766018E-2	-6.377701461E-2	9.533859789E-3	6.555958486E-2
1.074265167E0	-1.107380725E-2	-4.510772228E-2	1.653717272E-2	4.930328486E-2
1.084220167E0	-1.730392128E-2	-1.611203700E-2	2.043935470E-2	3.125365017E-2
1.094176167E0	-1.639551669E-2	6.410048809E-3	2.322741784E-2	2.914471878E-2
1.104132167E0	-1.665796712E-2	3.080062941E-2	3.059274703E-2	4.649820224E-2
1.114087167E0	-3.971934319E-2	5.025342479E-2	4.630486667E-2	7.903906379E-2
1.124043167E0	-6.445010751E-2	3.263298795E-2	4.294884577E-2	8.404362923E-2
1.133998167E0	-7.775766402E-2	-2.856296254E-3	3.889418393E-2	8.698948377E-2
1.143954167E0	-7.476159185E-2	-1.816514507E-2	3.625730053E-2	8.505210140E-2
1.153910167E0	-5.332047865E-2	-8.134083822E-3	3.409587964E-2	6.381038921E-2
1.163865167E0	-2.726766281E-2	-5.334816873E-3	2.893566713E-2	4.011556479E-2
1.173821167E0	3.282795660E-4	-7.364411838E-3	2.594440430E-2	2.697136340E-2
1.183777167E0	2.545424737E-2	-7.586141117E-3	2.649726719E-2	3.751764138E-2
1.193732167E0	4.108300805E-2	2.758641727E-3	2.638408355E-2	4.890341010E-2
1.203688167E0	4.752820730E-2	1.274253428E-2	1.976646483E-2	5.302844332E-2
1.213643167E0	4.086817428E-2	2.121049445E-3	1.244942937E-2	4.277493205E-2
1.223599167E0	2.486392111E-2	-1.331695542E-2	1.368456241E-2	3.135000993E-2
1.233555167E0	1.130204089E-2	1.089414116E-3	1.833870262E-2	2.156921336E-2
1.243510167E0	-1.597395632E-3	4.546876997E-2	2.106120251E-2	5.013516696E-2
1.253466167E0	-9.346395731E-3	7.949091494E-2	1.680360734E-2	8.178338395E-2
1.263422167E0	-9.072695859E-3	8.342289180E-2	1.976834610E-2	8.621183326E-2
1.273377167E0	-8.103039116E-3	7.312072068E-2	3.041726165E-2	7.960847218E-2
1.283333167E0	-9.869483300E-3	5.163745955E-2	2.718721330E-2	5.918596536E-2
1.293288167E0	-2.178073674E-2	2.144759521E-2	2.088138089E-2	3.701934496E-2
1.303244167E0	-4.359988123E-2	-1.755570434E-2	1.772315241E-2	5.023208666E-2
1.313200167E0	-5.550580844E-2	-5.491532758E-2	2.168726735E-2	8.103656915E-2
